trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
25,False,"{'a': 0.5, 'e': 0.68728927879097224}",25,0,-153.91851140118047,"{0: 14, 1: 2, 2: 6, 3: 1, 4: 2}",0
26,False,"{'a': 0.5, 'e': 0.67705687449816465}",25,0,-53.39422028070665,"{0: 18, 1: 4, 2: 2, 3: 0, 4: 1}",0
27,False,"{'a': 0.5, 'e': 0.66697681085847438}",30,11,-62.72307468825052,"{0: 15, 1: 0, 2: 1, 3: 2, 4: 1}",1
28,False,"{'a': 0.5, 'e': 0.65704681981505675}",20,0,-87.4962479950924,"{0: 13, 1: 3, 2: 1, 3: 2, 4: 1}",0
29,False,"{'a': 0.5, 'e': 0.64726466707803465}",20,8,-0.7161290333294783,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 0}",1
30,False,"{'a': 0.5, 'e': 0.63762815162177333}",20,0,-51.342182409316464,"{0: 16, 1: 1, 2: 1, 3: 1, 4: 1}",0
31,False,"{'a': 0.5, 'e': 0.62813510518964089}",25,0,-125.95753151989868,"{0: 17, 1: 2, 2: 2, 3: 2, 4: 2}",0
32,False,"{'a': 0.5, 'e': 0.61878339180614084}",20,13,4.6210511106610195,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
33,False,"{'a': 0.5, 'e': 0.60957090729630925}",20,0,-38.29843918281085,"{0: 13, 1: 4, 2: 3, 3: 0, 4: 0}",0
34,False,"{'a': 0.5, 'e': 0.6004955788122659}",25,1,-69.2582793263027,"{0: 18, 1: 1, 2: 3, 3: 1, 4: 1}",1
35,False,"{'a': 0.5, 'e': 0.59155536436681511}",20,0,-71.11107971471978,"{0: 12, 1: 0, 2: 7, 3: 1, 4: 0}",0
36,False,"{'a': 0.5, 'e': 0.58274825237398964}",20,10,5.434388525612254,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
