trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
53,False,"{'a': 0.5, 'e': 0.3497485607556669}",20,9,3.2925009551752744,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 0}",1
54,False,"{'a': 0.5, 'e': 0.34275358954055357}",25,17,8.383240449643637,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
55,False,"{'a': 0.5, 'e': 0.3358985177497425}",20,14,1.2861114483450509,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
56,False,"{'a': 0.5, 'e': 0.3291805473947476}",20,0,-57.08436979508077,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
57,False,"{'a': 0.5, 'e': 0.32259693644685267}",25,0,-61.16359685040589,"{0: 20, 1: 2, 2: 1, 3: 1, 4: 1}",0
58,False,"{'a': 0.5, 'e': 0.3161449977179156}",25,15,9.246287781348704,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
59,False,"{'a': 0.5, 'e': 0.3098220977635573}",20,11,-4.019630915592615,"{0: 7, 1: 1, 2: 1, 3: 0, 4: 0}",1
60,False,"{'a': 0.5, 'e': 0.30362565580828615}",20,16,7.455162622952684,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
61,False,"{'a': 0.5, 'e': 0.2975531426921204}",30,15,-41.52070817397698,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 1}",1
62,False,"{'a': 0.5, 'e': 0.291602079838278}",20,15,7.277686169964839,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
63,False,"{'a': 0.5, 'e': 0.2857700382415124}",30,0,12.75804018991299,"{0: 27, 1: 1, 2: 2, 3: 0, 4: 0}",0
64,False,"{'a': 0.5, 'e': 0.2800546374766822}",25,4,8.884283643219545,"{0: 20, 1: 0, 2: 0, 3: 1, 4: 0}",1
65,False,"{'a': 0.5, 'e': 0.2744535447271485}",25,9,-26.370979908148872,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 1}",1
66,False,"{'a': 0.5, 'e': 0.2689644738326056}",30,12,-22.236117106496526,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 1}",1
